Frage,Antwort,Kategorie
"Wie hoch ist das jährliche Einkommen in Ihrer Region?","50.000-70.000","Einkommen"
"Wie schätzen Sie die Kaufkraft Ihrer Region ein?","Mittel","Kaufkraft"
"Wie stark ist der Wettbewerb in Ihrer Region?","Hoch","Wettbewerb"
"Wie groß ist die Nachfrage nach neuen Produkten?","Groß","Nachfrage"
"Wie wichtig ist Nachhaltigkeit für die Bevölkerung?","Sehr wichtig","Nachhaltigkeit"
"Gibt es ausreichende Infrastruktur für neue Unternehmen?","Ja","Infrastruktur"
"Wie ist die regionale Arbeitslosenquote?","5%","Arbeitsmarkt"
"Wie hoch sind die durchschnittlichen Mietkosten?","1.000 EUR","Kosten"
"Wie bewerten Sie die Innovationsbereitschaft in Ihrer Region?","Hoch","Innovation"
"Wie ausgeprägt ist der Tourismus in Ihrer Region?","Stark","Tourismus"
"Wie zufrieden sind die Bewohner mit der Lebensqualität?","Sehr zufrieden","Lebensqualität"
"Gibt es steuerliche Anreize für Unternehmen?","Ja","Steuern"
"Wie ist die Internetgeschwindigkeit in Ihrer Region?","Sehr hoch","Technologie"
"Wie hoch ist die Bevölkerungsdichte?","300 Personen/km²","Demografie"
"Wie bewerten Sie die Verkehrsanbindung?","Gut","Infrastruktur"
"Wie hoch ist der Anteil der erneuerbaren Energien?","30%","Energie"
"Wie ist die Verfügbarkeit von Fachkräften?","Gut","Arbeitsmarkt"
"Wie hoch sind die Lebenshaltungskosten?","Mittel","Kosten"
"Wie ist die regionale Bildungsqualität?","Hoch","Bildung"
"Wie hoch ist die Kriminalitätsrate?","Niedrig","Sicherheit"
"Wie ist die Gesundheitsversorgung?","Sehr gut","Gesundheit"
"Wie hoch ist die Zufriedenheit mit öffentlichen Dienstleistungen?","Hoch","Dienstleistungen"
"Wie ist die regionale Wirtschaftsstruktur?","Diversifiziert","Wirtschaft"
"Wie hoch ist die Zufriedenheit mit dem öffentlichen Nahverkehr?","Hoch","Verkehr"
"Wie ist die regionale Umweltqualität?","Gut","Umwelt"
"Wie hoch ist die Zufriedenheit mit dem Freizeitangebot?","Hoch","Freizeit"
"Wie ist die regionale Kulturlandschaft?","Vielfältig","Kultur"
"Wie hoch ist die Zufriedenheit mit dem Wohnangebot?","Hoch","Wohnen"
"Wie ist die regionale Sozialstruktur?","Stabil","Soziales"
"Wie hoch ist die Zufriedenheit mit dem Bildungsangebot?","Hoch","Bildung"
"Wie ist die regionale Innovationskraft?","Hoch","Innovation"
"Wie hoch ist die Zufriedenheit mit dem Gesundheitsangebot?","Hoch","Gesundheit"
"Wie ist die regionale Wettbewerbsfähigkeit?","Hoch","Wettbewerb"
"Wie hoch ist die Zufriedenheit mit dem Arbeitsmarkt?","Hoch","Arbeitsmarkt"
"Wie ist die regionale Lebensqualität?","Hoch","Lebensqualität"
"Wie hoch ist die Zufriedenheit mit der Infrastruktur?","Hoch","Infrastruktur"
"Wie ist die regionale Kaufkraft?","Hoch","Kaufkraft"
"Wie hoch ist die Zufriedenheit mit der Technologie?","Hoch","Technologie"
"Wie ist die regionale Nachhaltigkeit?","Hoch","Nachhaltigkeit"
"Wie hoch ist die Zufriedenheit mit der Demografie?","Hoch","Demografie"
"Wie ist die regionale Einkommensverteilung?","Gleichmäßig","Einkommen"
"Wie hoch ist die Zufriedenheit mit der Energieversorgung?","Hoch","Energie"
"Wie ist die regionale Arbeitsmarktstruktur?","Stabil","Arbeitsmarkt"
"Wie hoch ist die Zufriedenheit mit den Kosten?","Hoch","Kosten"
"Wie ist die regionale Bildungsstruktur?","Stabil","Bildung"
"Wie hoch ist die Zufriedenheit mit der Sicherheit?","Hoch","Sicherheit"
"Wie ist die regionale Gesundheitsstruktur?","Stabil","Gesundheit"
"Wie hoch ist die Zufriedenheit mit den Dienstleistungen?","Hoch","Dienstleistungen"
"Wie ist die regionale Wirtschaftsstruktur?","Stabil","Wirtschaft"
"Wie hoch ist die Zufriedenheit mit dem Verkehr?","Hoch","Verkehr"
"Wie ist die regionale Umweltstruktur?","Stabil","Umwelt"
"Wie hoch ist die Zufriedenheit mit dem Freizeitangebot?","Hoch","Freizeit"
"Wie ist die regionale Kulturstruktur?","Stabil","Kultur"
"Wie hoch ist die Zufriedenheit mit dem Wohnangebot?","Hoch","Wohnen"
"Wie ist die regionale Sozialstruktur?","Stabil","Soziales"
"Wie hoch ist die Zufriedenheit mit dem Bildungsangebot?","Hoch","Bildung"
"Wie ist die regionale Innovationsstruktur?","Stabil","Innovation"
"Wie hoch ist die Zufriedenheit mit dem Gesundheitsangebot?","Hoch","Gesundheit"
"Wie ist die regionale Wettbewerbsstruktur?","Stabil","Wettbewerb"
"Wie hoch ist die Zufriedenheit mit dem Arbeitsmarkt?","Hoch","Arbeitsmarkt"
"Wie ist die regionale Lebensqualitätsstruktur?","Stabil","Lebensqualität"
"Wie hoch ist die Zufriedenheit mit der Infrastruktur?","Hoch","Infrastruktur"
"Wie ist die regionale Kaufkraftstruktur?","Stabil","Kaufkraft"
"Wie hoch ist die Zufriedenheit mit der Technologie?","Hoch","Technologie"
"Wie ist die regionale Nachhaltigkeitsstruktur?","Stabil","Nachhaltigkeit"
"Wie hoch ist die Zufriedenheit mit der Demografie?","Hoch","Demografie"
"Würden Sie in einem neuen Einkaufszentrum einkaufen?","Ja","Konsumausgaben"
"Planen Sie in den nächsten 6 Monaten größere Anschaffungen?","Nein","Konsumausgaben"
"Wie wichtig ist Ihnen eine nachhaltige Produktion?","Sehr wichtig","Nachhaltigkeit"
"Halten Sie die wirtschaftliche Lage Ihrer Region für stabil?","Nein","Wirtschaftslage"
"Würden Sie ein Abonnement für lokale Produkte abschließen?","Vielleicht","Konsumausgaben"
"Finden Sie, dass es genügend Arbeitsplätze in Ihrer Region gibt?","Nein","Arbeitsmarkt"
"Wie hoch ist Ihr Vertrauen in lokale Unternehmen?","Mittel","Wirtschaftslage"
"Würden Sie in eine neue Technologie wie Elektrofahrzeuge investieren?","Ja","Technologie"
"Würden Sie ein Start-up unterstützen, das lokale Probleme adressiert?","Ja","Innovationen"
"Wie wichtig ist Ihnen die Digitalisierung öffentlicher Dienste?","Sehr wichtig","Digitalisierung"
"Planen Sie in den nächsten Monaten in den Urlaub zu fahren?","Ja","Konsumausgaben"
"Sind Sie zufrieden mit den öffentlichen Verkehrsmitteln in Ihrer Region?","Nein","Infrastruktur"
"Glauben Sie, dass Immobilienpreise in Ihrer Region steigen werden?","Ja","Immobilienmarkt"
"Fühlen Sie sich ausreichend über lokale Investitionsmöglichkeiten informiert?","Nein","Finanzen"
"Sind Sie bereit, mehr für nachhaltige Produkte zu zahlen?","Ja","Nachhaltigkeit"
"Würden Sie in einen neuen regionalen Markt investieren?","Vielleicht","Finanzen"
"Ist es Ihnen wichtig, dass Produkte lokal hergestellt werden?","Ja","Nachhaltigkeit"
"Nutzen Sie regelmäßig Online-Shopping?","Ja","Digitalisierung"
"Sind Sie zufrieden mit der medizinischen Versorgung in Ihrer Region?","Nein","Infrastruktur"
"Wie oft kaufen Sie Produkte von lokalen Herstellern?","Gelegentlich","Konsumausgaben"
"Würden Sie von einer Investition in erneuerbare Energien profitieren?","Ja","Nachhaltigkeit"
"Wie hoch schätzen Sie die Arbeitslosigkeit in Ihrer Region ein?","Hoch","Arbeitsmarkt"
"Würden Sie ein Restaurant mit regionaler Küche bevorzugen?","Ja","Konsumausgaben"
"Wie bewerten Sie die Qualität der Straßen in Ihrer Region?","Schlecht","Infrastruktur"
"Würden Sie in ein lokales Geschäft investieren?","Ja","Finanzen"
"Wie wichtig ist Ihnen die Förderung lokaler Start-ups?","Sehr wichtig","Innovationen"
"Sind Sie der Meinung, dass Ihre Region mehr Freizeitangebote benötigt?","Ja","Infrastruktur"
"Würden Sie in eine Bildungseinrichtung investieren?","Vielleicht","Bildung"
"Glauben Sie, dass Ihre Region vom Tourismus profitieren würde?","Ja","Wirtschaftslage"
